brand,correct,total,accuracy
gree-3,0,1,0.0
Casa Noble,1,1,100.0
tecnica,1,1,100.0
teva,1,1,100.0
jetbeam,1,1,100.0
biotene,0,1,0.0
ANNICK GOUTAL,0,1,0.0
Kiton,1,1,100.0
thomapyrin,1,1,100.0
canadel,1,1,100.0
wahl,1,1,100.0
nemiroff,1,1,100.0
Carpathia,0,1,0.0
southbeauty-2,0,1,0.0
Fudgee-O,1,1,100.0
Angry Orchard,1,1,100.0
Mahindra-1,0,1,0.0
Edeka,1,1,100.0
sachs,1,1,100.0
biostime-2,0,1,0.0
Maple,1,1,100.0
Carl's Jr,1,1,100.0
Aqua Flow,0,1,0.0
Chipotle Mexican Grill-2,0,1,0.0
Hammary,0,1,0.0
Air Choice One Airlines,1,1,100.0
Hilton Worldwide-3,0,1,0.0
xiangeqing,1,1,100.0
Calistoga,0,1,0.0
rocky patel,1,1,100.0
HMV,1,1,100.0
mitsuoka-2,0,1,0.0
lyle,1,1,100.0
revlon,1,1,100.0
socar-1,0,1,0.0
bike friday,1,1,100.0
Emilio,0,1,0.0
von maur,1,1,100.0
Ibis,1,1,100.0
muzak-2,1,1,100.0
winiary,1,1,100.0
Karl Kani-2,0,1,0.0
sugar wafers,1,1,100.0
Emilio Pucci,0,1,0.0
anerle,1,1,100.0
quality street,0,1,0.0
phillips petroleum,1,1,100.0
BeiJiRong,0,1,0.0
babool,1,1,100.0
steve's ice cream,0,1,0.0
Ecopetrol,1,1,100.0
tubao-2,1,1,100.0
vivobarefoot-1,0,1,0.0
marimekko,0,1,0.0
Beaulieu,1,1,100.0
Blimpie,1,1,100.0
Los Angeles,1,1,100.0
Bazooka,1,1,100.0
murco-1,1,1,100.0
Ben Franklin Stores,1,1,100.0
Aquascutum,0,1,0.0
Hulk,1,1,100.0
Electrohome,1,1,100.0
timbuk2-2,1,1,100.0
calpak,1,1,100.0
hengshui laobaigan,1,1,100.0
Chloe,1,1,100.0
Harpoon,1,1,100.0
q8,0,1,0.0
Armani,1,1,100.0
pisco porton,1,1,100.0
lite source,1,1,100.0
michel's patisserie,0,1,0.0
saracen cycles,1,1,100.0
Angenieux,1,1,100.0
